Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Austria,2014,Developed,81.4,66,0,12.32,8350.193523,98,117,57.1,0,98,11.21,98,0.1,51322.63997,8541575,1.8,2,0.892,15.9
Austria,2013,Developed,81.1,68,0,11.82,90.58501176,95,0,56.6,0,95,11.14,95,0.1,554.71532,8479375,1.8,2,0.887,15.7
Austria,2012,Developed,88,7,0,12.26,7878.372355,92,36,56.1,0,92,11.17,92,0.1,48333.57273,8429991,1.8,2,0.884,15.7
Austria,2011,Developed,88,73,0,12.04,8272.306757,89,68,55.7,0,89,1.94,89,0.1,51126.74139,8391643,1.7,2,0.88,15.7
Austria,2010,Developed,84,75,0,12.1,7423.228774,86,52,55.2,0,86,11.17,86,0.1,46657.629,836344,1.7,1.9,0.872,15.4
Austria,2009,Developed,82,77,0,11.3,8053.557638,83,49,54.7,0,83,11.19,83,0.1,47654.18721,8343323,1.7,1.9,0.87,15.3
Austria,2008,Developed,84,76,0,12,8329.731655,83,448,54.2,0,83,1.6,83,0.1,51386.37665,8321496,1.7,1.9,0.864,15.1
Austria,2007,Developed,81,8,0,12.5,7453.8644,85,20,53.7,0,85,1.4,85,0.1,46586.6525,8295487,1.7,1.9,0.86,15.2
Austria,2006,Developed,79.8,81,0,12.4,69.92899358,83,23,53.2,0,83,1.35,83,0.1,443.99361,8268641,1.7,1.9,0.854,15
Austria,2005,Developed,79.4,85,0,12.4,5992.588029,86,9,52.7,0,86,1.53,86,0.1,38242.4252,8227829,1.7,1.9,0.848,14.9
Austria,2004,Developed,79.3,86,0,12.1,5316.877456,83,15,52.2,0,83,1.56,83,0.1,36693.4262,8171966,1.7,1.9,0.841,14.7
Austria,2003,Developed,78.8,88,0,12.2,504.4308735,83,90,51.7,0,84,1.48,84,0.1,3212.9355,8121423,1.7,1.9,0.837,14.7
Austria,2002,Developed,78.7,9,0,12.5,3979.057728,81,0,51.2,0,82,1.27,83,0.1,26351.37568,881957,1.7,1.9,0.847,16.1
Austria,2001,Developed,78.6,92,0,12.4,3582.848308,44,0,5.6,0,83,1.12,84,0.1,24489.73553,842293,1.7,1.9,0.837,15.5
Austria,2000,Developed,78.1,96,0,13.2,3557.455507,33,0,5.1,0,71,1.6,81,0.1,24517.26745,811566,1.7,1.9,0.833,15.4
Belgium,2014,Developed,89,76,0,12.6,7163.348923,98,70,63.4,1,99,1.59,99,0.1,47439.39684,112957,1,1,0.89,16.3
Belgium,2013,Developed,87,77,0,11.77,702.359357,98,39,63,1,99,1.57,99,0.1,4651.38647,11182817,1,0.9,0.889,16.3
Belgium,2012,Developed,83,78,0,10.08,664.4738975,98,109,62.6,1,99,1.54,99,0.1,4474.5717,11128246,0.9,0.9,0.886,16.2
Belgium,2011,Developed,83,8,0,10.11,713.5297354,97,576,62.3,1,98,1.42,98,0.1,4772.77415,1147744,0.9,0.9,0.884,16.1
Belgium,2010,Developed,80,81,0,10.22,665.7356115,97,40,61.9,1,98,1.17,98,0.1,4438.23741,1895586,0.9,0.9,0.878,15.9
Belgium,2009,Developed,79.8,85,0,10.05,671.9376566,97,33,61.6,1,98,1.39,98,0.1,4488.5615,1796493,0.9,0.9,0.876,15.8
Belgium,2008,Developed,79.5,87,0,10.47,7191.051507,98,98,61.3,1,99,9.6,99,0.1,48424.58927,179973,0.8,0.8,0.874,15.8
Belgium,2007,Developed,79.5,86,0,10.25,640.3560918,94,64,6.9,1,99,9.25,98,0.1,4443.83131,16257,0.8,0.8,0.871,15.8
Belgium,2006,Developed,79.4,85,0,10.98,5579.199083,94,15,6.6,1,99,9.17,98,0.1,38852.3613,1547958,0.8,0.8,0.865,15.7
Belgium,2005,Developed,78.9,89,0,12.27,5068.214488,77,26,6.2,1,97,9.24,97,0.1,36967.28292,1478617,0.8,0.8,0.861,15.7
Belgium,2004,Developed,78.8,91,1,12.05,5160.508378,64,61,59.8,1,96,9.32,95,0.1,35589.71295,1421137,0.8,0.8,0.88,18.8
Belgium,2003,Developed,78.3,95,0,11.28,507.306164,64,44,59.4,1,96,9.3,95,0.1,3743.95693,1376133,0.8,0.8,0.878,18.6
Belgium,2002,Developed,78,99,1,11.29,320.3177664,6,0,59,1,96,8.46,95,0.1,2552.3328,1332785,0.8,0.8,0.875,18.8
Belgium,2001,Developed,78,1,1,11.01,2943.375396,6,83,58.5,1,96,8.29,95,0.1,23121.56635,128657,0.8,0.8,0.873,18.2
Belgium,2000,Developed,77.6,11,1,11.21,287.2084529,6,0,58.1,1,96,8.12,95,0.1,2327.4591,125125,0.8,0.8,0.869,18
Bulgaria,2014,Developed,74.3,138,1,12.03,153.1400362,95,0,65.1,1,88,8.44,88,0.1,7853.335191,7223938,1.9,1.9,0.787,14.8
Bulgaria,2013,Developed,74.1,14,1,12.06,149.659879,95,14,64.5,1,95,7.93,95,0.1,7674.86559,7265115,1.9,1.9,0.781,14.4
Bulgaria,2012,Developed,73.9,139,1,10.99,851.450672,95,1,63.9,1,95,7.11,95,0.1,7378.25539,735888,1.9,1.9,0.778,14.3
Bulgaria,2011,Developed,73.7,144,1,10.67,875.1495189,96,157,63.3,1,95,6.88,95,0.1,7813.83499,7348328,2,2,0.775,14.2
Bulgaria,2010,Developed,73.4,147,1,10.8,766.4454884,95,22004,62.7,1,94,7.24,94,0.1,6843.263289,7395599,2,2,0.77,13.9
Bulgaria,2009,Developed,73.2,152,1,10.93,661.5144334,96,2249,62.1,1,94,6.78,94,0.1,6955.987733,7444443,2,2.1,0.768,13.8
Bulgaria,2008,Developed,72.9,155,1,10.98,107.9826127,96,1,61.5,1,96,6.61,95,0.1,7296.122479,7492561,2.1,2.1,0.761,13.8
Bulgaria,2007,Developed,72.6,157,1,10.89,591.5100978,95,1,6.9,1,95,6.41,95,0.1,5932.899677,7545338,2.1,2.2,0.755,13.5
Bulgaria,2006,Developed,72.2,161,1,10.39,508.6304588,96,1,6.3,1,96,6.67,95,0.1,4513.13628,76122,2.2,2.2,0.75,13.5
Bulgaria,2005,Developed,72.1,16,1,10.48,456.3404657,96,3,59.7,1,97,7.8,96,0.1,3893.68998,7658972,2.2,2.3,0.745,13.5
Bulgaria,2004,Developed,72.2,157,1,10.96,384.1473028,94,0,59.1,1,94,7.9,95,0.1,3381.57837,771686,2.3,2.3,0.738,13.3
Bulgaria,2003,Developed,72,155,1,11.19,32.38616103,96,0,58.6,1,96,7.43,96,0.1,271.46824,7775327,2.3,2.4,0.729,12.9
Bulgaria,2002,Developed,71.8,157,1,10.2,33.26778134,88,0,58.1,1,94,7.41,93,0.1,287.534843,7837161,2.4,2.4,0.723,12.9
Bulgaria,2001,Developed,71.6,16,1,10.72,25.06262895,93,8,57.5,1,94,7.23,94,0.1,1764.97387,89142,2.4,2.5,0.713,12.9
Bulgaria,2000,Developed,71.1,163,1,9.69,15.2357274,94,46,57,1,94,6.7,93,0.1,169.28586,817172,2.5,2.5,0.709,12.9
Croatia,2014,Developed,77.8,97,0,12.14,1884.098811,95,0,63.1,0,95,7.8,95,0.1,13467.46827,4238389,1.5,1.5,0.82,15.1
Croatia,2013,Developed,77.7,97,0,12.39,1899.107385,96,0,62.5,0,96,7.83,96,0.1,13574.749,4255689,1.5,1.5,0.817,14.9
Croatia,2012,Developed,77.1,14,0,11.49,1851.713262,98,2,61.9,0,96,7.8,96,0.1,13235.97757,4267558,1.5,1.5,0.815,14.6
Croatia,2011,Developed,77,14,0,12.19,1913.356642,97,12,61.3,0,96,7.8,96,0.1,14539.18421,428622,1.6,1.5,0.808,14.5
Croatia,2010,Developed,76.6,16,0,12.1,206.8868182,97,7,6.6,0,97,8.25,97,0.1,1355.74586,4417781,1.6,1.6,0.803,14.2
Croatia,2009,Developed,76.3,19,0,12.21,2160.380199,97,2,6,0,96,8.18,96,0.1,14157.14416,442978,1.7,1.6,0.803,14.2
Croatia,2008,Developed,76,116,0,12.06,2425.403891,97,51,59.4,0,96,7.7,96,0.1,15893.8656,443458,1.7,1.7,0.8,14.3
Croatia,2007,Developed,75.8,114,0,12.56,2019.812779,95,0,58.7,0,96,7.44,96,0.1,13546.69872,4436,1.8,1.7,0.793,14.3
Cyprus,2014,Developed,83,53,0,0.01,207.3041936,96,10,59.8,0,99,7.37,99,0.1,2734.88382,115239,0.9,1,0.85,14
Cyprus,2013,Developed,81,54,0,9.04,212.0859259,96,0,59.2,0,99,7.46,99,0.1,2797.96736,1143896,0.9,1,0.85,13.8
Cyprus,2012,Developed,80,56,0,10.55,2159.756205,96,1,58.7,0,99,7.44,99,0.1,28951.15556,113562,0.9,1,0.85,13.8
Cyprus,2011,Developed,79.7,57,0,10.69,2443.325028,96,0,58.3,0,99,7.54,99,0.1,32233.83942,1124835,0.9,1,0.847,13.8
Cyprus,2010,Developed,79.5,59,0,11.32,283.3300258,96,18,57.8,0,99,7.23,99,0.1,3818.46396,111267,0.9,1,0.853,14.6
Cyprus,2009,Developed,79.3,6,0,10.8,230.2524184,96,0,57.3,0,99,7.4,99,0.1,3215.8159,19876,0.9,1,0.849,14.1
Cyprus,2008,Developed,79.1,62,0,12.01,239.6409938,93,1,56.8,0,97,6.89,97,0.1,3539.7488,181563,0.9,1,0.844,13.7
Cyprus,2007,Developed,78.9,63,0,11.56,1958.525877,93,0,56.3,0,97,6.5,97,0.1,31386.63265,163712,0.9,1,0.836,13.5
Cyprus,2006,Developed,78.8,64,0,11.47,1700.841534,93,0,55.8,0,97,6.28,97,0.1,27169.99256,14559,0.9,1,0.829,13.4
Cyprus,2005,Developed,78.7,65,0,11.41,1562.520827,88,1,55.3,0,98,6.37,98,0.1,25324.48666,127658,0.9,1,0.826,13.5
Cyprus,2004,Developed,78.6,65,0,13.03,1586.724172,88,0,54.8,0,98,6.42,98,0.1,23932.49128,1141,0.9,1,0.823,13.4
Cyprus,2003,Developed,78.5,66,0,10.62,158.7087399,88,0,54.3,0,98,6.83,98,0.1,2293.4789,993563,0.9,1,0.815,13
Cyprus,2002,Developed,78.4,68,0,11.68,1128.050886,88,0,53.8,0,98,6.12,98,0.1,16372.29152,976966,0.9,1,0.805,12.5
Cyprus,2001,Developed,78.2,69,0,10.16,100.8086193,89,0,53.3,0,97,5.78,97,0.1,1562.92433,96282,0.9,1,0.8,12.4
Cyprus,2000,Developed,78.1,7,0,9.56,950.8027925,89,0,52.8,0,97,5.77,97,0.1,14672.8826,943286,0.9,1,0.798,12.5
Germany,2014,Developed,89,69,2,11.03,941.7562909,88,443,61.9,3,94,11.3,95,0.1,4792.65288,89825,1.1,1.1,0.92,17
Germany,2013,Developed,86,71,2,10.94,895.8779503,88,1771,61.4,3,94,11.16,95,0.1,4653.91143,864565,1.1,1.1,0.919,16.9
Germany,2012,Developed,86,71,2,11.18,839.91332,88,166,6.9,3,94,1.99,95,0.1,4465.24891,8425823,1.1,1.1,0.916,16.9
Germany,2011,Developed,85,74,2,11.2,869.790735,88,1607,6.4,3,94,1.93,95,0.1,4681.32796,8274983,1.1,1.1,0.912,16.8
Germany,2010,Developed,81,76,2,11.2,7584.078579,88,780,59.9,3,94,11.25,95,0.1,41785.55691,8177693,1.1,1.1,0.907,16.7
Germany,2009,Developed,80,79,2,11.22,7641.270645,88,574,59.5,3,95,11.4,96,0.1,41732.7725,819237,1.1,1.1,0.906,16.7
Germany,2008,Developed,79.9,8,2,11.36,8285.264655,87,917,59,3,95,1.39,96,0.1,45699.19832,821197,1.1,1.1,0.903,16.6
Germany,2007,Developed,79.8,82,3,11.5,7777.556353,86,567,58.5,3,95,1.18,96,0.1,41814.8191,82266372,1.1,1.1,0.898,16.6
Germany,2006,Developed,79.6,84,3,11.76,6407.535954,87,2307,58,3,94,1.34,96,0.1,36447.87232,82376451,1.1,1.1,0.892,16.5
Germany,2005,Developed,79.2,85,3,11.67,6012.92584,9,778,57.6,3,95,1.52,96,0.1,34696.6292,82469422,1.1,1.1,0.884,16.4
Germany,2004,Developed,79.1,86,3,11.83,5842.374765,88,121,57.1,3,96,1.37,96,0.1,34165.9343,8251626,1.1,1.1,0.877,16.4
Germany,2003,Developed,78.5,9,3,11.92,582.6157028,9,779,56.6,4,96,1.62,97,0.1,3359.95215,82534176,1.1,1.1,0.872,16.3
Germany,2002,Developed,78.4,91,3,12.25,437.1059663,87,4657,56.1,4,97,1.4,93,0.1,2525.16445,82488495,1.2,1.1,0.867,16.3
Germany,2001,Developed,78.3,92,3,12.46,4057.637383,86,6024,55.6,4,96,1.15,93,0.1,23687.31689,82349925,1.2,1.1,0.86,16.2
Germany,2000,Developed,78,95,3,12.91,4238.540035,84,0,55.1,4,94,1.1,9,0.1,23718.7467,8221158,1.2,1.2,0.855,16.2
Ireland,2014,Developed,81.2,66,0,10.75,746.3670453,95,33,62.1,0,96,7.78,96,0.1,5553.32623,4617225,0.3,0.2,0.91,18.6
Ireland,2013,Developed,81,67,0,10.49,703.5527332,95,51,61.3,0,96,8.1,96,0.1,5234.76736,4598294,0.3,0.2,0.902,18.6
Ireland,2012,Developed,85,69,0,11.49,6616.695125,95,107,6.5,0,95,8.32,95,0.1,49231.36254,4586897,0.3,0.2,0.895,18.5
Ireland,2011,Developed,84,7,0,11.72,6386.95437,95,285,59.7,0,95,8.15,95,0.1,52567.52568,4576794,0.3,0.2,0.909,18.5
Ireland,2010,Developed,86,68,0,11.88,4509.234803,46,443,58.9,0,94,8.76,94,0.1,48538.58776,456155,0.3,0.2,0.907,18.2
Italy,2014,Developed,82.5,57,2,7.56,4831.644796,95,0,63.1,2,95,9.25,95,0.1,35396.66517,678914,0.6,0.6,0.877,16.3
Italy,2013,Developed,82.3,58,2,7.35,483.1916844,96,0,62.6,2,96,9.22,96,0.1,3537.27441,6233948,0.5,0.6,0.876,16.5
Italy,2012,Developed,82,6,2,7.49,4793.904924,96,376,62.1,2,96,9.28,97,0.1,34814.12436,59539717,0.5,0.6,0.877,16.6
Italy,2011,Developed,82,6,2,6.98,5439.691769,96,5189,61.5,2,96,9.27,96,0.1,38334.68477,59379449,0.5,0.5,0.872,16.4
Italy,2010,Developed,81.8,6,2,6.95,5219.668802,96,372,61,2,96,9.42,96,0.1,35849.37364,59277417,0.5,0.5,0.869,16.4
Italy,2009,Developed,81.6,61,2,7.25,5243.316638,96,351,6.5,2,96,9.41,96,0.1,36976.84512,5995365,0.5,0.5,0.868,16.3
Italy,2008,Developed,81.5,61,2,7.96,66.37840495,96,1617,59.9,2,96,8.89,96,0.1,464.18465,58826731,0.5,0.5,0.866,16.3
Italy,2007,Developed,81.3,63,2,8.37,5228.821581,97,321,59.4,2,97,8.48,97,0.1,37698.78573,5843831,0.5,0.5,0.862,16.1
Italy,2006,Developed,81.2,65,2,8.44,473.1915451,96,439,58.8,2,97,8.82,96,0.1,3341.7482,58143979,0.5,0.5,0.856,16
Italy,2005,Developed,88,66,2,8.65,4506.255963,96,135,58.2,2,97,8.71,95,0.1,31959.26215,57969484,0.5,0.5,0.851,15.8
Italy,2004,Developed,89,66,2,8.98,4270.914882,96,599,57.6,3,97,8.49,94,0.1,31174.56118,57685327,0.5,0.5,0.846,15.6
Italy,2003,Developed,79.9,72,2,9.3,3519.258515,95,10982,57,3,97,8.17,96,0.1,27387.2258,5731323,0.5,0.5,0.841,15.4
Italy,2002,Developed,80,72,2,9.25,2883.334911,95,9385,56.4,3,96,8.23,93,0.1,22196.5736,57597,0.5,0.5,0.836,15.2
Italy,2001,Developed,79.8,75,2,9.69,3.1222302,95,0,55.7,3,96,8.11,93,0.1,24.819,569741,0.5,0.5,0.828,14.9
Italy,2000,Developed,79.4,77,3,9.78,31.50582204,94,1457,55,3,97,7.91,87,0.1,251.2426,5694218,0.5,0.5,0.823,14.8
Latvia,2014,Developed,74.4,156,0,0.01,1542.635979,92,36,6.7,0,92,5.88,92,0.1,15725.1374,1993782,2.2,2.2,0.822,16
Latvia,2013,Developed,74.1,161,0,10.37,150.3116884,94,0,6.2,0,94,5.67,94,0.1,1532.22924,212647,2.2,2.2,0.814,15.4
Latvia,2012,Developed,73.8,163,0,10.21,1356.022164,9,3,59.8,0,91,5.91,91,0.1,13822.8559,234319,2.2,2.2,0.812,15.5
Latvia,2011,Developed,73.6,169,0,10.14,24.70841046,89,1,59.4,0,92,6.1,92,0.1,1372.68947,25979,2.2,2.3,0.81,15.8
Latvia,2010,Developed,72.8,18,0,9.8,1109.969508,91,0,58.9,0,92,6.55,92,0.1,11326.21947,297555,2.2,2.3,0.815,16
Latvia,2009,Developed,72.6,184,0,9.85,1137.6237,92,0,58.5,0,94,6.84,94,0.1,12219.37379,2141669,2.3,2.3,0.821,16.4
Latvia,2008,Developed,71.9,199,0,11.84,253.4022338,93,3,58.1,0,94,6.63,94,0.1,16348.53121,2177322,2.3,2.4,0.819,16.3
Latvia,2007,Developed,78,221,0,12.12,170.9884138,91,0,57.7,0,94,7.1,94,0.1,1444.1589,22325,2.4,2.4,0.814,16.2
Latvia,2006,Developed,75,229,0,10.4,1099.248837,94,7,57.4,0,96,6.8,96,0.1,9667.9757,2218357,2.4,2.5,0.807,16.2
Latvia,2005,Developed,76,216,0,9.92,86.9255399,99,2,57,0,99,6.37,99,0.1,7558.7426,2238799,2.5,2.5,0.791,15.9
Latvia,2004,Developed,71,26,0,8.81,80.0328375,98,0,56.6,0,99,6.51,99,0.1,6351.8125,2263122,2.5,2.6,0.776,15.5
Latvia,2003,Developed,78,29,0,8.24,478.0644911,98,0,56.3,0,98,6.15,98,0.1,5134.95694,2287955,2.6,2.6,0.761,15.2
Latvia,2002,Developed,73,219,0,7.44,376.4570185,98,0,56,0,98,6.29,97,0.1,4132.34927,231173,2.7,2.7,0.746,14.8
Latvia,2001,Developed,69.9,228,0,6.68,332.2751709,96,1,55.7,0,97,6.17,97,0.1,3572.8513,233717,2.8,2.8,0.728,14.2
Latvia,2000,Developed,71,218,0,7.13,291.0170765,95,0,55.4,0,96,6,96,0.1,3352.731296,236755,2.8,2.8,0.716,13.7
Lithuania,2014,Developed,73.4,169,0,15.19,2211.744178,94,11,61.9,0,93,6.55,93,0.1,16554.97139,2932367,2.6,2.7,0.841,16.5
Lithuania,2013,Developed,73,178,0,15.04,1968.816817,93,35,61.4,0,93,6.59,93,0.1,15712.82376,2957689,2.7,2.7,0.834,16.4
Lithuania,2012,Developed,73,176,0,15.14,1807.071336,93,0,6.9,0,93,6.67,93,0.1,14341.836,2987773,2.7,2.7,0.83,16.5
Lithuania,2011,Developed,72.8,18,0,12.66,1758.822757,95,7,6.5,0,92,6.86,92,0.1,14357.73679,328115,2.7,2.8,0.826,16.7
Lithuania,2010,Developed,72.4,188,0,12.9,1423.802386,94,2,6,0,95,7.9,95,0.1,11984.86857,397282,2.8,2.8,0.824,16.8
Lithuania,2009,Developed,72.2,192,0,12.4,1446.529217,95,0,59.7,0,98,7.53,98,0.1,11837.3913,3162916,2.8,2.9,0.825,16.6
Lithuania,2008,Developed,71.1,224,0,13.3,1888.149904,96,1,59.3,0,96,6.61,96,0.1,14961.56818,3198231,2.9,2.9,0.82,16.5
Lithuania,2007,Developed,72,24,0,13.4,1581.511914,96,0,59,0,95,6.22,95,0.1,12297.91535,3231294,2.9,3,0.812,16.4
Lithuania,2006,Developed,76,229,0,12.7,116.504961,95,1,58.7,0,94,6.2,94,0.1,924.642548,326999,3,3,0.807,16.4
Lithuania,2005,Developed,78,222,0,12.3,913.699529,95,1,58.4,0,93,5.83,94,0.1,7863.1629,3322528,3,3.1,0.798,16.2
Lithuania,2004,Developed,71.6,24,0,12.1,76.36187737,94,1,58.1,0,9,5.67,94,0.1,676.966998,337775,3.1,3.1,0.792,16.3
Lithuania,2003,Developed,71.6,22,0,11.29,80.99710054,95,1,57.8,0,91,6.46,94,0.1,555.535669,3415213,3.2,3.2,0.78,15.8
Lithuania,2002,Developed,71.4,22,0,11,561.9168642,94,103,57.5,0,97,6.4,95,0.1,4146.987928,344367,3.3,3.3,0.77,15.3
Lithuania,2001,Developed,71.2,21,0,10.2,42.87208671,95,7,57.2,0,97,6.26,95,0.1,353.147337,347818,3.3,3.3,0.757,14.7
Lithuania,2000,Developed,71.6,2,0,9.87,373.2605532,98,19,56.9,0,92,6.46,94,0.1,3297.35471,3499536,3.4,3.4,0.745,14
Luxembourg,2014,Developed,81.7,65,0,11.12,16255.16198,94,0,6.9,0,99,6.94,99,0.1,119172.7418,556319,1,0.9,0.892,13.9
Luxembourg,2013,Developed,81.4,68,0,11.02,15515.75234,94,0,6.5,0,99,7.1,99,0.1,113751.85,54336,0.9,0.9,0.892,13.9
Luxembourg,2012,Developed,81.1,7,0,11.34,2284.58215,94,2,6.1,0,99,7.18,99,0.1,16749.136,53946,0.9,0.9,0.892,13.9
Luxembourg,2011,Developed,88,72,0,11.5,17028.52798,95,6,59.6,0,96,7.34,99,0.1,115761.577,518347,0.9,0.9,0.894,13.9
Luxembourg,2010,Developed,86,73,0,11.36,2267.252192,94,0,59.2,0,96,7.68,99,0.1,14965.361,56953,0.9,0.9,0.884,13.7
Luxembourg,2009,Developed,83,76,0,11.42,2052.393076,95,0,58.8,0,96,8.11,99,0.1,13198.6693,497783,0.9,0.9,0.888,13.5
Luxembourg,2008,Developed,80,8,0,11.53,18961.3486,94,1,58.4,0,96,7.34,99,0.1,114293.8433,48865,0.9,0.9,0.887,13.5
Luxembourg,2007,Developed,79.7,82,0,11.75,267.051312,87,0,57.9,0,96,6.8,99,0.1,1618.4928,479993,0.9,0.9,0.877,13.5
Luxembourg,2006,Developed,79.4,85,0,11.98,15345.4907,95,8,57.5,0,99,7.75,99,0.1,89739.7117,472637,0.9,0.9,0.88,13.5
Luxembourg,2005,Developed,78.8,9,0,11.84,1346.246697,95,0,57,0,99,7.95,99,0.1,8289.69641,465158,1,0.9,0.874,13.5
Luxembourg,2004,Developed,78.7,92,0,12.42,12372.05188,94,0,56.4,0,99,8.2,99,0.1,75716.3518,45895,1,0.9,0.867,13.5
Luxembourg,2003,Developed,78.6,92,0,12.61,10111.38928,95,1,55.8,0,99,7.67,98,0.1,65445.8853,45163,1,0.9,0.865,13.6
Luxembourg,2002,Developed,78.3,95,0,12.91,910.5062778,95,0,55.2,0,99,8.27,99,0.1,5293.64115,446175,1,0.9,0.86,13.5
Luxembourg,2001,Developed,78,96,0,12.89,7877.33656,86,0,54.6,0,99,7.4,99,0.1,48179.4285,441525,1,1,0.854,13.4
Luxembourg,2000,Developed,77.8,98,0,13.14,8246.130437,77,0,54,0,99,7.48,99,0.1,48735.99549,4363,1,1,0.848,13.5
Malta,2014,Developed,81.4,55,0,8.49,409.6000248,9,0,69.2,0,99,9.75,99,0.1,2618.92599,427364,0.8,0.8,0.847,14.3
Malta,2013,Developed,81.1,57,0,8.58,374.2947283,94,0,68.8,0,99,9.89,99,0.1,2393.1888,423374,0.8,0.7,0.828,14.2
Malta,2012,Developed,81,58,0,7.67,343.123395,93,0,68.4,0,99,9.95,99,0.1,2193.8836,419455,0.8,0.7,0.821,14.1
Malta,2011,Developed,87,59,0,6.91,3601.287457,82,3,68,0,96,9.6,96,0.1,22821.847,416268,0.8,0.7,0.826,14.8
Malta,2010,Developed,83,62,0,7.91,278.0687051,75,0,67.6,0,76,8.3,76,0.1,2187.79469,41458,0.8,0.7,0.819,14.6
Malta,2009,Developed,82,63,0,7.38,335.5180568,86,1,67.1,0,73,8.33,73,0.1,2675.58259,412477,0.8,0.7,0.815,14.4
Malta,2008,Developed,80,64,0,7.14,2655.573684,86,1,66.6,0,72,8.15,72,0.1,21928.767,49379,0.7,0.7,0.813,14.6
Malta,2007,Developed,79.6,65,0,7.45,2578.888314,82,2,66.1,0,76,8.36,74,0.1,19375.5696,46724,0.7,0.7,0.808,14.4
Malta,2006,Developed,79.3,66,0,8.84,2380.699796,86,1,65.6,0,83,8.93,85,0.1,16671.5672,4538,0.7,0.7,0.809,14.8
Malta,2005,Developed,79,67,0,6.41,2247.035692,85,6,65,0,94,8.83,92,0.1,15835.34667,43834,0.7,0.7,0.805,14.8
Malta,2004,Developed,78.7,69,0,6.53,203.3157499,85,4,64.5,0,89,8.46,89,0.1,1519.5497,41268,0.7,0.7,0.797,14.2
Malta,2003,Developed,78.5,71,0,6.7,1678.392773,89,4,63.9,0,94,8.6,94,0.1,13689.98999,398582,0.7,0.7,0.79,13.8
Netherlands,2014,Developed,81.7,58,1,0.01,1491.703605,92,140,61.6,1,96,1.9,96,0.1,52157.4687,168658,1,0.9,0.923,18.1
Netherlands,2013,Developed,81.4,6,1,8.68,1475.030397,51,2632,61,1,97,11.4,97,0.1,51574.48942,1684432,1,0.9,0.922,18.1
Netherlands,2012,Developed,81.1,62,1,9.05,1162.656768,2,10,6.5,1,97,11.1,97,0.1,49474.7561,16754962,1,0.9,0.921,18.1
Netherlands,2011,Developed,81.1,63,1,8.96,1047.370244,2,51,59.9,1,97,1.53,97,0.1,5354.6536,1669374,1,0.9,0.911,17.2
Poland,2014,Developed,77.3,12,2,10.71,243.808475,96,0,61.1,2,94,6.35,98,0.1,14341.675,3811735,1.9,2.1,0.85,16.4
Poland,2013,Developed,77.1,12,2,11.63,23.43533487,96,84,6.4,2,95,6.4,99,0.1,1378.54911,384196,2,2.1,0.838,15.4
